image,p_wide,p_narrow,p_barrier_yes,p_barrier_no,시설물명,road_width_relative,sidewalk_ratio,parked_density
AMI몬테소리손바닥어린이집_북쪽.png,0.6600753,0.34450328,0.38224038,0.61480176,AMI몬테소리손바닥어린이집,0.40075874,0.0,1
AP어린이집_북쪽.png,0.9406718,0.06007904,0.8228049,0.17801243,AP어린이집,0.42819732,0.0,2
EPS어린이집_북쪽.png,0.0045152605,0.99561465,0.0055216253,0.99437606,EPS어린이집,0.0,0.0,0
GC차일드케어어린이집_북쪽.png,0.76612806,0.22850004,0.6165681,0.38765633,GC차일드케어어린이집,0.40293983,0.04216498149114,0
LIG넥스원_어린이집_북쪽.png,0.79719377,0.2041198,0.85323244,0.15101942,LIG넥스원_어린이집,0.34592795,0.0,0
가곡초등학교(병설)_북쪽.png,0.14331311,0.8581326,0.13131541,0.87123233,가곡초등학교(병설),0.33788848,0.0,0
가남초등학교_북쪽.png,0.046566248,0.95384276,0.020106882,0.98017514,가남초등학교,0.0,0.0,0
가납초등학교_북쪽.png,0.41721952,0.58024013,0.36252636,0.63916504,가납초등학교,0.25695562,0.24401412669074,0
가능초등학교_북쪽.png,0.41890138,0.59005094,0.32278574,0.6779941,가능초등학교,0.37977225,0.23163811716976,0
가람어린이집(해담은어린이집)_북쪽.png,0.6492014,0.3517715,0.49348468,0.5081044,가람어린이집(해담은어린이집),0.3905672,0.22547700029256,1
가람유치원_북쪽.png,0.01593408,0.98417336,0.19875875,0.79987127,가람유치원,0.15103883,0.0,0
가람초등학교_북쪽.png,0.005146116,0.99490744,0.011816621,0.9884097,가람초등학교,0.4480958,0.0,1
가림유치원_북쪽.png,0.59644383,0.40819854,0.6015013,0.39386454,가림유치원,0.0,0.2153932860971224,2
가사초등학교_북쪽.png,0.1627953,0.8409869,0.1734857,0.8241278,가사초등학교,0.34135246,0.0588630639724087,0
가산어린이집_북쪽.png,0.7913265,0.21223637,0.3356861,0.66058487,가산어린이집,0.34567565,0.0,1
가산초교_북쪽.png,0.40943402,0.58802605,0.020832032,0.9789908,가산초교,0.30623096,0.0,0
가수초등학교_북쪽.png,0.48311704,0.51561445,0.32519677,0.67388976,가수초등학교,0.36011046,0.216568764717786,0
가양초등학교_북쪽.png,0.018628657,0.98140717,0.07057521,0.928242,가양초등학교,0.30524355,0.0,0
가연키즈어린이집_북쪽.png,0.44151893,0.5593351,0.17663833,0.8256471,가연키즈어린이집,0.18817917,0.0,0
가온유치원-1구간_북쪽.png,0.9262488,0.073159605,0.7942169,0.20600411,가온유치원-1구간,0.46247846,0.2220214150153495,0
가온초교(병설)_북쪽.png,0.8725004,0.13043737,0.87595576,0.12597674,가온초교(병설),0.36824277,0.223477256153382,0
가온초교-1구간_북쪽.png,0.8788408,0.12260291,0.89083743,0.10869053,가온초교-1구간,0.3930965,0.291354208302856,0
가좌초등학교_북쪽.png,0.7150981,0.29454595,0.37562242,0.62301624,가좌초등학교,0.0,0.0,0
가평마장초등학교_북쪽.png,0.0026434362,0.99741435,0.0043153763,0.9956271,가평마장초등학교,0.0,0.0,0
가평어린이집_북쪽.png,0.15483204,0.8453254,0.13185218,0.8689147,가평어린이집,0.0,0.0,2
가평초등학교_북쪽.png,0.77136564,0.23075184,0.6537942,0.34843713,가평초등학교,0.36791062,0.0,0
가현도담유치원_북쪽.png,0.89748883,0.103370935,0.821903,0.18278626,가현도담유치원,0.420233,0.0,0
가현초_북쪽.png,0.85582817,0.14632651,0.8254166,0.17868564,가현초,0.46520314,0.2242669761486,0
가현초병설유치원_북쪽.png,0.85582817,0.14632651,0.8254166,0.17868564,가현초병설유치원,0.46520314,0.2242669761486,0
각골_초등학교_병설유치원_북쪽.png,0.6093651,0.38778478,0.486374,0.51294065,각골_초등학교_병설유치원,0.3828664,0.0,0
각골_초등학교_북쪽.png,0.6093651,0.38778478,0.486374,0.51294065,각골_초등학교,0.3828664,0.0,0
갈곶초등학교_북쪽.png,0.24834225,0.75521636,0.11008087,0.8889847,갈곶초등학교,0.23150384,0.0,0
갈담초등학교_북쪽.png,0.43497738,0.5744795,0.81042427,0.18819106,갈담초등학교,0.27452242,0.2357315935632,0
갈매유치원_북쪽.png,0.96277106,0.03730297,0.8270407,0.17273483,갈매유치원,0.4016831,0.314928642425158,0
갈매초등학교(병설)_북쪽.png,0.99736583,0.002642095,0.9231585,0.07660246,갈매초등학교(병설),0.48146808,0.3685651078257336,0
갈보리어린이집_북쪽.png,0.78629625,0.21182144,0.8904278,0.11022985,갈보리어린이집,0.36064744,0.0,0
갈현초교(병설)_북쪽.png,0.03581652,0.9640244,0.12336141,0.87645084,갈현초교(병설),0.42498875,0.0,0
감일유치원_북쪽.png,0.96575457,0.034154505,0.809285,0.1885697,감일유치원,0.3657858,0.21384349712261,0
감일초등학교_북쪽.png,0.82256645,0.17510492,0.5795625,0.42215616,감일초등학교,0.44079462,0.0,0
강남유치원_북쪽.png,0.15427515,0.84799695,0.17947167,0.8202452,강남유치원,0.47071117,0.0,2
강담어린이집_북쪽.png,0.0073795617,0.99277776,0.016827106,0.9836614,강담어린이집,0.20994428,0.0,0
