image,p_wide,p_narrow,p_barrier_yes,p_barrier_no,시설물명,road_width_relative,sidewalk_ratio,parked_density,시군구,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,accident_label
AMI몬테소리손바닥어린이집_북쪽.png,0.6600753,0.34450328,0.38224038,0.61480176,AMI몬테소리손바닥어린이집,0.40075874,0.0,1,경기도 용인시,0,0,0,0,0,0,37.29733505,127.1548497,0
AP어린이집_북쪽.png,0.9406718,0.06007904,0.8228049,0.17801243,AP어린이집,0.42819732,0.0,2,경기도 용인시,0,0,0,0,0,0,37.31000974,127.0826428,0
EPS어린이집_북쪽.png,0.0045152605,0.99561465,0.0055216253,0.99437606,EPS어린이집,0.0,0.0,0,경기도 파주시,0,0,0,0,0,0,37.84945859,126.79512,0
GC차일드케어어린이집_북쪽.png,0.76612806,0.22850004,0.6165681,0.38765633,GC차일드케어어린이집,0.40293983,0.04216498149114,0,경기도 용인시,0,0,0,0,0,0,37.3150369,127.1020183,0
LIG넥스원_어린이집_북쪽.png,0.79719377,0.2041198,0.85323244,0.15101942,LIG넥스원 어린이집,0.34592795,0.0,0,경기도 용인시,0,0,0,0,0,0,37.30811722,127.1277415,0
가곡초등학교(병설)_북쪽.png,0.14331311,0.8581326,0.13131541,0.87123233,가곡초등학교(병설),0.33788848,0.0,0,경기도 남양주시,0,0,0,0,0,0,37.68437217,127.3052115,0
가남초등학교_북쪽.png,0.046566248,0.95384276,0.020106882,0.98017514,가남초등학교,0.0,0.0,0,경기도 여주시,0,0,0,0,0,0,37.20528811,127.5475999,0
가납초등학교_북쪽.png,0.41721952,0.58024013,0.36252636,0.63916504,가납초등학교,0.25695562,0.24401412669074,0,경기도 양주시,0,0,0,0,0,0,37.81939865,126.9824246,0
가능초등학교_북쪽.png,0.41890138,0.59005094,0.32278574,0.6779941,가능초등학교,0.37977225,0.23163811716976,0,경기도 의정부시,0,0,0,0,0,0,37.746482,127.035832,0
가람어린이집(해담은어린이집)_북쪽.png,0.6492014,0.3517715,0.49348468,0.5081044,가람어린이집(해담은어린이집),0.3905672,0.22547700029256,1,경기도 화성시,0,0,0,0,0,0,37.2180949,126.9510841,0
가람유치원_북쪽.png,0.01593408,0.98417336,0.19875875,0.79987127,가람유치원,0.15103883,0.0,0,경기도 평택시,0,0,0,0,0,0,37.05858,127.061522,0
가람유치원_북쪽.png,0.01593408,0.98417336,0.19875875,0.79987127,가람유치원,0.15103883,0.0,0,경기도 용인시,0,0,0,0,0,0,37.31220344,127.1018496,0
가람초등학교_북쪽.png,0.005146116,0.99490744,0.011816621,0.9884097,가람초등학교,0.4480958,0.0,1,경기도 고양시,0,0,0,0,0,0,37.62371945,126.8422244,0
